"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Azerbaijan","AZE","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.5263214111328","","","","","","","","88.435417175293","88.5401382446289","88.6104888916016","88.6454010009766","88.6587829589844","88.7130889892578","88.7197418212891","88.7141723632812","88.6650772094727","88.6644515991211","88.5012283325195","88.4309387207031","88.4195785522461","","","","91.8056716918945","","",
"Burundi","BDI","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.14735159121368","","7.41938018798828","","","","","","3.3253800868988","","","5.59581995010376","","","9.3111647004462","","","","","",
"Belgium","BEL","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","14.0161895751953","","","","","","","","","","","","","","","","","","","","","","42.9921289156962","43.5957253892061","45.2732700037636","46.8244263772055","48.6156800200796","49.4324792519843","48.3583035940081","48.9173367442627","50.0038123766939","50.6804325763941","52.0275696980575","52.6089216413124","54.6454246114712","56.7683075754643","57.7329292297363","58.8487291480579","60.4241600036621","61.6929016113281","61.7283782958984","62.7599296569824","63.2111015319824","64.2786865234375","64.0188827514648","66.210578918457","67.0826416015625","69.1504516601562","70.0668254662657","71.4462585449219","72.139644732898","73.6399120754637","73.6852679280953","74.4232374318134","","",
"Benin","BEN","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","1.10000002384186","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.70121891704129","","","","5.01374006271362","","6.36512994766235","","6.4660701751709","6.41501998901367","","","",
"Burkina Faso","BFA","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.00731992721558","","","","","","","","2.80549001693726","","","","6.15245008468628","7.82172012329102","","6.34940004348755","5.32712870386465","5.26034182476624","5.15915695580717","",
"Bangladesh","BGD","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","5.49604988098145","","","","","","","","","","","","","","","","","","","","17.1284294128418","","","","","19.8530266819359","","","","19.1188106028469","24.1828193664551","24.678840637207","22.1853504180908","23.2181606292725","28.5621795654297","28.9691696166992","29.7941703796387","30.5447692871094","31.330099105835","","33.6561393737793","","","","",
"Bulgaria","BGR","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.3747303537068","59.4621200561523","61.8875100019404","61.4832000193503","61.7715892025619","63.0249069427748","64.4489135742188","67.0206527709961","67.6123504638672","68.2597579956055","69.6149520874023","70.6531677246094","72.4808578491211","73.9379577636719","73.8130874633789","74.9126663208008","75.5995407104492","76.4485397338867","77.3435588476829","76.6335894620298","77.7781982421875","80.2392272949219","79.0050510077588","80.193131845955","","",
"Bahrain","BHR","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.6503105163574","","","","","","","","","42.1130104064941","","","","","","54.0475997924805","56.538158416748","64.9282302856445","","68.7366790771484","","66.9530029296875","66.730842590332","66.3833465576172","",
"Bahamas, The","BHS","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.9415512084961","","","","","","","","","","81.8777313232422","","","","","","","","","87.0900192260742","","","92.1609802246094","90.9041152937105","","",
"Bosnia and Herzegovina","BIH","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.8769177503296","53.4625551493833","57.0089525072219","56.8820301119927","57.8995639754601","59.1528756099602","59.5738906860352","60.8295707702637","62.3772583007812","61.7170969984451","63.5065383911133","62.9002278405043","69.086181640625","71.1498119603508","72.3236999511719","72.0473875223632","","",
